,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NEW PC REGISTRATIONS OR SALES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Estimated figures,,,,,,,,,,,,,,,,,,,,,,,
EUROPE NEW MEMBERS,SLOVAKIA,,,,"56,916","59,084","59,700","70,040","74,717","64,033","68,203","69,268","66,000","72,249",,,,,,,,,,,,,,
EUROPE NEW MEMBERS,SLOVENIA,,,,"59,324","59,578","68,719","71,575","57,967","61,142","60,193","50,091","52,268","53,296",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",ALBANIA,,,,800,800,"1,600","1,600","1,000","1,600","2,100","2,300","2,300","2,500",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",ARMENIA,,,,"11,000","12,000","6,000","4,000","4,000","4,000","4,000","5,000","5,000","5,200",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",BELARUS,,,,"9,000","13,000","20,000","22,000","12,000","15,000","15,000","20,000","19,600","22,300",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",BOSNIA,,,,"10,000","10,000","15,000","13,000","12,000","10,000","10,000","10,000","9,800","8,900",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",GEORGIA,,,,"1,500","2,000","6,000","8,000","1,000","4,000","3,000","4,000","4,000","4,300",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",MACEDONIA,,,,"9,300","10,000","10,200","10,500","6,000","8,500","8,500","5,000","2,000","2,700",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",MOLDAVIA,,,,"4,000","5,000","7,000","11,000","4,000","5,000","5,500","5,000","5,000","5,600",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",RUSSIA,,,,"15,20,225","19,11,240","25,14,920","28,97,459","14,65,742","19,12,794","26,53,688","27,55,384","26,49,181","22,86,877",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",SERBIA,,,,"21,603","25,610","32,772","36,177","30,000","28,951","22,181","22,800","23,000","23,900",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",TURKEY,,,,"4,38,597","3,73,219","3,57,465","3,05,998","3,69,819","5,09,784","5,93,519","5,56,280","6,64,655","5,87,331",,,,,,,,,,,,,,
"RUSSIA, TURKEY & OTHER EUROPE",UKRAINE,,,,"2,58,395","3,61,549","5,00,357","5,99,985","1,70,085","1,69,540","2,07,453","2,37,602","2,13,322","97,020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAFTA,CANADA,,,,"8,47,436","8,58,826","8,41,585","8,72,720","7,29,023","6,94,349","6,81,956","7,48,530","7,55,615","7,55,500",,,,,,,,,,,,,,
NAFTA,MEXICO,,,,"7,14,010","6,80,946","6,41,394","5,89,045","4,39,120","5,03,748","5,92,101","6,49,333","6,98,217","7,45,250",,,,,,,,,,,,,,
NAFTA,UNITED STATES OF AMERICA,,,,"76,59,983","77,61,592","75,62,334","67,69,107","54,00,890","56,35,432","60,89,403","72,41,900","75,85,341","76,87,619",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,ARGENTINA,,,,"2,90,648","3,36,296","4,22,230","4,52,539","3,73,231","5,22,591","6,73,853","5,96,397","6,84,379","4,32,696",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,BAHAMAS,,,,"2,500","2,000","2,000","2,000","3,500","2,000","2,000","2,500","2,000","1,600",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,BELIZE,,,,100,200,100,200,150,100,100,200,200,200,,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,BOLIVIA,,,,"1,000","1,500","1,500","1,500","1,000","8,000","9,500","14,000","13,900","18,500",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,BRAZIL,,,,"13,69,182","15,56,220","19,75,518","21,93,277","24,74,764","26,44,706","26,47,250","28,51,540","27,63,718","25,04,161",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,CHILE,,,,"1,40,000","1,40,000","1,80,000","1,81,523","1,30,753","2,12,336","2,45,116","2,57,013","2,86,588","2,56,160",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,COLOMBIA,,,,"1,20,000","1,60,000","2,00,000","1,80,000","1,70,000","2,50,000","2,50,000","2,40,000","2,38,800","2,65,100",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,COSTA RICA,,,,"13,000","15,000","13,000","15,000","12,000","20,000","30,000","30,000","29,800","35,200",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,CUBA,,,,"2,000","2,000","3,000","3,000","1,500","2,000","3,000","4,000","4,000","4,000",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,DOMINICAN REPUBLIC,,,,"16,000","16,000","18,000","20,000","8,000","15,000","15,000","15,000","14,900","17,400",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,ECUADOR,,,,"54,342","58,900","58,334","69,556","60,596","90,250","94,297","80,644","74,169","78,495",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,EL SALVADOR,,,,"4,000","6,000","8,000","10,000","2,000","3,000","3,000","5,000","5,000","5,000",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,GUADELOUPE,,,,"14,359","13,562","15,539","14,295","14,084","13,480","13,695","13,158","12,427","12,599",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,GUATEMALA,,,,"8,100","9,400","12,100","12,800","13,000","14,100","15,000","16,000","15,900","17,300",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,GUYANA,,,,"4,085","4,071","4,437","4,357","4,446","4,393","4,719","4,357","4,256","4,248",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,HONDURAS,,,,"4,800","5,600","7,100","8,000","6,000","1,000","1,000","1,000","1,000","1,300",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,JAMAICA,,,,"3,000","3,000","3,000","3,000","4,000","2,000","2,000","2,000","2,000","2,300",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,MARTINIQUE,,,,"14,749","14,132","14,666","13,679","13,142","13,187","12,976","11,527","11,091","11,325",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,NICARAGUA,,,,"3,000","6,000","6,000","6,000","4,000","3,000","3,000","3,000","4,000","5,200",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,PANAMA,,,,"10,000","15,000","22,000","30,000","25,000","30,000","35,000","40,000","39,800","43,000",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,PARAGUAY,,,,"3,000","5,000","6,000","12,000","7,000","11,000","20,000","20,000","19,900","21,500",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,PERU,,,,"14,231","20,061","28,430","55,312","48,775","73,858","93,055","1,28,295","1,39,453","1,38,226",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,PUERTO RICO,,,,"96,000","85,000","92,000","65,000","65,000","45,000","55,000","55,000","54,700","58,500",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,TRINIDAD,,,,"10,000","10,000","5,000","10,000","10,000","10,000","10,000","8,000","8,000","6,300",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,URUGUAY,,,,"10,000","10,000","12,000","15,000","30,000","40,000","38,308","38,109","41,785","40,171",,,,,,,,,,,,,,
CENTRAL & SOUTH AMERICA,VENEZUELA,,,,"1,28,601","1,84,108","2,67,932","1,35,882","67,047","68,210","65,339","60,776","43,887","10,430",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,AUSTRALIA,,,,"6,08,804","5,98,394","6,37,019","5,96,765","5,40,562","5,92,122","5,59,314","5,76,855","5,66,454","5,31,596",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,AZERBAIDJAN,,,,"12,100","13,000","15,000","15,000","10,000","13,000","10,000","14,000","21,000","23,300",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,BAHRAIN,,,,"18,000","18,000","20,000","30,000","28,000","29,000","26,000","40,000","43,500","49,600",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,BANGLADESH,,,,"6,500","9,000","12,000","17,000","21,500","20,700","20,800","24,600","24,000","29,300",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,BRUNEI,,,,"15,000","15,000","10,000","15,000","10,000","10,000","15,000","15,000","14,700","18,100",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,CAMBODGE,,,,"1,000","1,000","1,500","1,500","1,500","1,500","2,000","2,000","2,000","2,400",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,CHINA,,,,"39,71,101","51,75,961","62,97,538","67,55,609","1,03,31,315","1,37,57,794","1,44,72,416","1,54,95,240","1,79,27,730","1,97,00,569",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,HONG-KONG,,,,"27,483","27,877","33,462","35,182","28,797","41,638","44,845","45,283","46,147","48,500",,,,,,,,,,,,,,
ASIA/OCEANIA/MIDDLE EAST,INDIA,,,,"11,06,863","13,11,373","15,11,812","15,45,414","18,16,878","23,87,197","25,10,313","27,81,919","25,53,979","25,70,531",,,,,,,,,,,,,,
